avgOxygenSaturation.timeFrame.timestamp,avgOxygenSaturation.oxygenSaturation.value,
2022-05-03 00:44:50,97.78,
2022-05-03 00:43:50,97.85,
2022-05-03 00:42:50,98.26,
2022-05-03 00:41:50,98.09,
2022-05-03 00:40:50,98.57,
2022-05-03 00:39:50,98.62,
2022-05-03 00:38:50,98.5,
2022-05-03 00:37:50,97.91,
2022-05-03 00:36:51,98.8,
2022-05-03 00:35:51,98.23,
2022-05-03 00:34:51,98.99,
2022-05-03 00:33:51,98.95,
2022-05-03 00:32:51,98.6,
2022-05-03 00:31:51,99.12,
2022-05-03 00:30:51,98.52,
2022-05-03 00:29:51,99.06,
2022-05-03 00:28:51,97.89,
2022-05-03 00:27:51,98.7,
2022-05-03 00:26:52,97.89,
2022-05-03 00:25:52,98.07,
2022-05-03 00:24:52,98.49,
2022-05-03 00:23:52,97.97,
2022-05-03 00:22:52,98.47,
2022-05-03 00:21:52,98.02,
2022-05-03 00:20:52,98.27,
2022-05-03 00:19:52,96.79,
2022-05-03 00:18:52,97.05,
2022-05-03 00:17:53,97.55,
2022-05-03 00:16:53,97.96,
2022-05-03 00:15:53,98.56,
2022-05-03 00:14:53,98.57,
2022-05-03 00:13:53,98.81,
2022-05-03 00:12:53,98.71,
2022-04-28 05:31:00,97.86,
2022-04-28 05:30:00,97.17,
2022-04-28 05:29:00,97.67,
2022-04-28 05:28:00,97.68,
2022-04-28 05:27:00,98.16,
2022-04-28 05:26:00,98.55,
2022-04-28 05:25:01,97.7,
2022-04-28 05:24:01,98.57,
2022-04-28 05:23:01,98.0,
2022-04-28 05:22:01,97.74,
2022-04-28 05:21:01,98.4,
2022-04-28 05:20:01,97.23,
2022-04-28 05:19:01,96.68,
2022-04-28 05:18:01,95.64,
2022-04-28 05:17:01,96.68,
2022-04-28 05:16:02,96.71,
2022-04-28 05:15:02,95.27,
2022-04-28 05:14:02,96.8,
2022-04-28 05:13:02,98.11,
2022-04-28 05:12:02,98.82,
2022-04-28 05:11:02,98.82,
2022-04-28 05:10:02,98.82,
2022-04-28 05:09:02,95.92,
2022-04-28 05:08:02,96.64,
2022-04-28 05:07:03,99.99,
2022-04-28 05:06:03,96.56,
2022-04-28 05:05:03,97.29,
2022-04-28 05:04:03,97.25,
2022-04-28 05:03:03,96.73,
2022-04-28 05:02:03,98.36,
2022-04-28 05:01:03,95.37,
2022-04-28 05:00:03,97.16,
2022-04-28 04:59:03,96.43,
2022-04-28 04:58:04,97.6,
2022-04-28 04:57:04,97.39,
2022-04-28 04:56:04,94.94,
2022-04-28 04:55:04,96.54,
2022-04-28 04:54:04,96.8,
2022-04-28 04:53:04,98.01,
2022-04-28 04:52:04,98.61,
2022-04-28 04:51:04,96.71,
2022-04-28 04:50:04,95.44,
2022-04-28 04:49:05,95.39,
2022-04-28 04:48:05,96.21,
2022-04-28 04:47:05,97.75,
2022-04-28 04:46:05,97.73,
2022-04-28 04:45:05,96.56,
2022-04-28 04:44:05,96.88,
2022-04-28 04:43:05,97.78,
2022-04-28 04:42:05,98.25,
2022-04-28 04:41:05,98.37,
2022-04-28 04:40:06,94.8,
2022-04-28 04:39:06,96.42,
2022-04-28 04:38:06,96.86,
2022-04-28 04:37:06,97.35,
2022-04-28 04:36:06,95.65,
2022-04-28 04:35:06,96.87,
2022-04-28 04:34:06,98.01,
2022-04-28 04:33:06,97.02,
2022-04-28 04:32:06,96.73,
2022-04-28 04:31:07,97.5,
2022-04-28 04:30:07,97.62,
2022-04-28 04:29:07,97.13,
2022-04-28 04:28:07,97.33,
2022-04-28 04:27:07,98.43,
2022-04-28 04:26:07,99.62,
2022-04-28 04:25:07,95.61,
2022-04-28 04:24:07,97.69,
2022-04-28 04:23:07,96.24,
2022-04-28 04:22:08,96.43,
2022-04-28 04:21:08,97.99,
2022-04-28 04:20:08,95.56,
2022-04-28 04:19:08,95.95,
2022-04-28 04:18:08,96.6,
2022-04-28 04:17:08,95.46,
2022-04-28 04:16:08,94.3,
2022-04-28 04:15:08,95.34,
2022-04-28 04:14:08,96.36,
2022-04-28 04:13:09,97.47,
2022-04-28 04:12:09,96.52,
2022-04-28 04:11:09,98.1,
2022-04-28 04:10:09,95.85,
2022-04-28 04:09:09,96.48,
2022-04-28 04:08:09,97.28,
2022-04-28 04:07:09,97.14,
2022-04-28 04:06:09,97.64,
2022-04-28 04:05:09,95.87,
2022-04-28 04:04:10,95.34,
2022-04-28 04:03:10,95.81,
2022-04-28 04:02:10,95.03,
2022-04-28 04:01:10,95.06,
2022-04-28 04:00:10,98.02,
2022-04-28 03:59:10,97.36,
2022-04-28 03:58:10,94.58,
2022-04-28 03:57:10,96.32,
2022-04-28 03:56:10,96.15,
2022-04-28 03:55:11,95.32,
2022-04-28 03:54:11,96.44,
2022-04-28 03:53:11,95.45,
2022-04-28 03:52:11,96.82,
2022-04-28 03:51:11,94.14,
2022-04-28 03:50:11,95.79,
2022-04-28 03:49:11,98.77,
2022-04-28 03:48:11,97.17,
2022-04-28 03:47:11,97.62,
2022-04-28 03:46:12,99.07,
2022-04-28 03:45:12,98.38,
2022-04-28 03:44:12,98.1,
2022-04-28 03:43:12,98.71,
2022-04-28 03:42:12,98.66,
2022-04-28 03:41:12,98.42,
2022-04-28 03:40:12,98.49,
2022-04-28 03:39:12,99.13,
2022-04-28 03:38:12,99.39,
2022-04-28 03:37:12,98.96,
2022-04-28 03:36:13,98.65,
2022-04-28 03:35:13,98.52,
2022-04-28 03:34:13,97.94,
2022-04-28 03:33:13,98.06,
2022-04-28 03:32:13,98.18,
2022-04-28 03:31:13,98.52,
2022-04-28 03:25:23,98.32,
2022-04-28 03:24:23,99.53,
2022-04-28 03:23:23,98.6,
2022-04-28 03:22:24,98.46,
2022-04-28 03:21:24,99.75,
2022-04-28 03:20:24,99.63,
2022-04-28 03:19:24,98.68,
2022-04-28 03:18:24,98.6,
2022-04-28 03:17:24,98.94,
2022-04-28 03:16:24,98.23,
2022-04-28 03:10:25,97.36,
2022-04-28 03:09:25,98.42,
2022-04-28 03:03:40,97.1,
2022-04-28 03:02:40,98.53,
2022-04-28 03:01:40,98.24,
2022-04-28 03:00:40,97.72,
2022-04-28 02:59:40,97.93,
2022-04-28 02:58:40,97.2,
2022-04-28 02:57:40,97.36,
2022-04-28 02:56:40,97.38,
2022-04-28 02:55:40,97.27,
2022-04-28 02:54:41,97.61,
2022-04-28 02:53:41,97.45,
2022-04-28 02:52:41,97.09,
2022-04-28 02:36:26,95.77,
2022-04-28 02:35:26,96.71,
2022-04-28 02:34:26,95.88,
2022-04-28 02:33:26,96.64,
2022-04-28 02:32:27,96.05,
2022-04-28 02:31:27,95.93,
2022-04-28 02:30:27,96.97,
2022-04-28 02:29:27,95.94,
2022-04-28 02:28:27,96.18,
2022-04-28 02:27:27,96.03,
2022-04-28 02:26:27,96.17,
2022-04-28 02:25:27,95.49,
2022-04-28 02:24:27,95.77,
2022-04-28 02:23:28,95.83,
2022-04-28 02:22:28,95.88,
